feature,rank,pct_nonnull,xs_var_share,market_wide,raw_topqIC,raw_IR,tsz_topqIC,tsz_IR,lift_absIR,max_corr_top
low_close_ratio,5,100.0,0.9131921012122124,False,0.020123848281754585,0.2141247627655264,-0.016161541500290533,-0.18958861156155754,-0.024536151203968848,1.0
atr_regime_high,6,100.0,0.8006924600776494,False,0.00016431374246440774,0.0032336987244778134,0.04622243706954065,0.636054446327643,0.6328207476031652,1.0
ATR%,10,100.0,0.9498782244191922,False,0.12495847485268163,0.9056176800971465,0.0394372883051228,0.5277602142225267,-0.37785746587461977,1.0
atr_percentage,15,100.0,0.9498782243086115,False,0.12495854241812747,0.9056179082834519,0.039437263857578994,0.5277603943597249,-0.377857513923727,0.9999999999999998
high_close_ratio,18,100.0,0.8888138249552457,False,0.09035212359952918,0.9817884094566139,0.052539770242861425,0.6152087210130386,-0.36657968844357536,0.32983295755510483
HC_Ratio,22,100.0,0.8888138249552457,False,0.09035212359952918,0.9817884094566139,0.052539770242861425,0.6152087210130386,-0.36657968844357536,0.32983295755510483
Volume%,23,100.0,0.8199800274604886,False,0.03696788685003141,0.7724530938432926,0.041700598310710435,0.8914549946964763,0.11900190085318363,0.23667735752636904
dollar_volume_zscore,26,100.0,0.8368632379846824,False,0.04496290917542751,0.7972032641573605,0.047195146207736995,0.9313530834880557,0.13414981933069514,0.2445471824475578
High_Close_Ratio,28,100.0,0.8888138249552457,False,0.09035212359952918,0.9817884094566139,0.052539770242861425,0.6152087210130386,-0.36657968844357536,0.32983295755510483
information_rate_of_change,29,100.0,0.9041959687465853,False,0.11933714876149963,0.8629918184968153,0.00914541551668762,0.12164852528215488,-0.7413432932146604,0.6620129764111727
corr_DIA,31,96.56033322984581,0.8985582048357564,False,-0.048000852354135065,-0.384870161999707,0.0008552267313749389,0.009925004500519443,-0.37494515749918755,0.019522336749493642
corr_IWM,33,96.56033322984581,0.9350481425037407,False,-0.02986576787710488,-0.19714528465800082,-0.0010000387796110066,-0.01161575186098797,-0.18552953279701284,0.083958564855126
High_Low,40,100.0,0.9167694963481208,False,0.1091774088859013,1.0583537055399623,0.043215415742381184,0.6675248752327289,-0.3908288303072335,0.6438267146209704
percent_range,61,100.0,0.9167694965702751,False,0.10917732694705119,1.0583517111467908,0.04321550465505984,0.667526629193805,-0.3908250819529858,0.6438267150601089
Volume%_rolling_90,63,100.0,0.8290028537033118,False,0.03595949866293559,0.7622479390841559,0.045134421228221706,0.9469934856078013,0.1847455465236454,0.22673819772043982
Rolling_Mean_28,83,100.0,0.9986116388530044,False,-0.045116300335493825,-0.6411836267539699,-0.003097399091965615,-0.02433431276907387,-0.6168493139848961,0.09208372734532827
intraday_range_pct,84,100.0,0.9167694963481208,False,0.1091774088859013,1.0583537055399623,0.043215415742381184,0.6675248752327289,-0.3908288303072335,0.6438267146209704
KC_UPPER%,90,100.0,0.9074305455316346,False,0.04212861330321201,0.38229776048709435,0.01793631473730954,0.180713390865384,-0.20158436962171036,0.32069488851432043
beta_IWM,98,96.56033322984581,0.9507234293223559,False,0.036648679811790826,0.20598871824996892,0.0020689713229302764,0.02071485061543052,-0.1852738676345384,0.40667453855320507
Realized_Vol_21d,99,100.0,0.9205850625397484,False,0.10822654485862282,0.8554568956499542,0.023668829497199756,0.35093254073796243,-0.5045243549119918,0.6811015070057928
volume_spike_ratio,102,100.0,0.8222623817749113,False,0.037147916589177425,0.7795654177624415,0.035919087537207225,0.7525486352055826,-0.02701678255685891,0.24844049022964468
Price_Differential_Ratio_LogDiff_10d,103,100.0,0.9065361188252803,False,0.025976680738526714,0.40336345573653704,0.025527054189798223,0.40922182129700907,0.005858365560472034,0.4340455794498326
corr_SPY,111,96.56033322984581,0.855084812243163,False,-0.021190356762645888,-0.14971539633334738,-0.010096960530178185,-0.11534703867168387,-0.034368357661663504,0.08582815300228284
G_Price_Differential_Analyzer,115,100.0,0.9191432162991304,False,0.10977044974315353,1.0614722848312141,0.04239782385401113,0.6525612944528628,-0.4089109903783513,0.6700620042980442
corr_VIX,120,96.56033322984581,0.8472399414289351,False,0.022682122773976604,0.17423920450372277,0.0028831693403085492,0.030138423936876647,-0.1441007805668461,0.06417332380733586
beta_QQQ,121,96.56033322984581,0.8793407788071489,False,0.04844307657015046,0.28821102712565194,-0.0066335548704390054,-0.07590665271373308,-0.21230437441191885,0.34100078173458753
RSI_HC_Composite,134,100.0,0.8600599514053714,False,0.08150997721295582,0.8772313535982558,0.0452491536131073,0.5309205696022441,-0.3463107839960117,0.2869154134249672
corr_QQQ,136,96.56033322984581,0.8105289162469824,False,0.0010292959137358554,0.0069015059743817485,-0.011556628965518317,-0.13431264660950437,0.12741114063512263,0.14815542189230996
beta_VIX,138,96.56033322984581,0.8306049439453003,False,-0.03991522419786155,-0.2477292264370964,-0.0002045699243195118,-0.0020590113506814586,-0.24567021508641496,0.3105468179435006
beta_SPY,144,96.56033322984581,0.9161951579748728,False,0.040568183540438715,0.23864372850111276,-0.009777025036599522,-0.11304494724332054,-0.12559878125779222,0.34817643840066864
atr_regime_low,148,100.0,0.8056818010414498,False,-0.0030751246515580443,-0.0601543429010967,-0.02366802634538369,-0.4193992833594821,0.3592449404583854,0.35752611236881454
distance_from_sma_20d,150,100.0,0.9027166302887134,False,0.0021962683189867822,0.021221313566734724,-0.010715714332684782,-0.10721934155617763,0.08599802798944291,0.26493153549321957
Perc_Diff,153,100.0,0.9450485212034448,False,0.005015305435439568,0.040200883953549205,0.010321426971602104,0.1031735822166665,0.0629726982631173,0.059051084192705224
Price_Differential_Ratio_InfoDecay_3d,158,100.0,0.946994438076918,False,-0.0042377767915516475,-0.09746806457642986,-0.000842167533331498,-0.019151260849994807,-0.07831680372643504,0.021428737312449337
higher_order_moments_Kurtosis,164,100.0,0.9503463107830207,False,-0.010589905712942651,-0.18421947837322805,0.000282700490466904,0.005613962654993944,-0.1786055157182341,0.01792242174033507
HC_GP_Composite,165,100.0,0.9420805321591662,False,0.0880876035168035,1.1048719687702577,0.05087338615363797,0.5804222711541497,-0.524449697616108,0.30488894325507343
G_Volume_Weighted_High_Ratio,166,100.0,0.9837930575182249,False,-0.03639456295538413,-0.45492947695449903,-0.05032828420633785,-0.8622866511178083,0.4073571741633093,0.04422149235783012
beta_DIA,168,96.56033322984581,0.9390061120399511,False,0.025336093130055175,0.15561480792026605,0.005392746015223927,0.05986518803178695,-0.0957496198884791,0.3274998873022063
Divergence,169,100.0,0.9972806449062508,False,-0.04481597365947889,-0.636152209141043,-0.0019116785605958568,-0.015162495095697419,-0.6209897140453455,0.09323939099978638
open_close_ratio,172,100.0,0.9114792817290511,False,-0.02305991675663353,-0.2453686286494378,-0.027706650730288697,-0.3002342451705951,0.05486561652115732,0.7176710637638655
entropy,173,100.0,0.9630145868932664,False,0.01190327935602572,0.21240980616912936,0.00045420781535163835,0.009044359129981448,-0.2033654470391479,0.03978542205102679
cv_20d_percentile,175,100.0,0.9229076956737041,False,0.003366336061583392,0.05073866378856404,0.007934395293777747,0.11815568089140052,0.06741701710283649,0.35035659673025155
Lyapunov_Scaled,178,100.0,0.841699067862729,False,-0.0015668593800170147,-0.0256865637371829,0.012284714846562723,0.19432729893356557,0.16864073519638267,0.35711857855847473
Price_Differential_Ratio_LogDiff_5d,179,100.0,0.9184847876952588,False,0.02443851560015091,0.345052179056662,0.02244093373576417,0.3246129233068163,-0.02043925574984573,0.43295624757789397
rapid_price_change_zscore,184,100.0,0.8745592927331275,False,-0.008235636630118452,-0.09070651014812521,-0.01762810542605029,-0.19522895863572748,0.10452244848760227,0.26373199143194576
VWAP%_from_high,186,100.0,0.9384906877273518,False,-0.058819842229825454,-0.4717547507710379,-0.004885670923171932,-0.04387874352904,-0.4278760072419979,0.4228068082238862
gap_percentage,188,100.0,0.8900097264799888,False,0.005050273582972719,0.05985924044908027,-0.000950576180234692,-0.011675602128414328,-0.04818363832066594,0.039056231928319
days_since_high,193,100.0,0.8869324894182674,False,0.015162672509546865,0.15432162491799972,-0.003360905562615252,-0.039167846506774004,-0.11515377841122572,0.14078252463106883
return_3d,194,100.0,0.8789637934004323,False,-0.007892059737718568,-0.07746284144180718,-0.019758233105640833,-0.20056348993681813,0.12310064849501096,0.3787120461319721
percent_from_high,195,100.0,0.9416847394851688,False,-0.05184578365804117,-0.4236602870344577,-0.010521020034824843,-0.09572115168917185,-0.32793913534528585,0.4051604006765477
cv_50d,199,100.0,0.94340920762593,False,0.08058920100272272,0.7586105113096127,0.010154018601037514,0.1521766129872406,-0.606433898322372,0.4294040847096015
